TimeElapsed,loss_vf_loss,EpisodesSoFar,EpRewMean,loss_pol_entpen,EpExecMean,EpLenMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpThisIter,loss_kl
5015.721474170685,66.695404,1127,79.67861259371561,-0.07314865,0.007076298599999999,7.96,0.9214345887303352,2.4382885,18681,-0.043278605,40,0.069510445
5150.208474636078,25.039242,1164,79.60533437392642,-0.07390702,0.006701862039999999,7.38,0.9599598683416843,2.4635673,18934,-0.051082127,37,0.057072833
5301.769337654114,7.499372,1207,82.56913039030684,-0.06702359,0.00622533637,6.31,0.9906805912032723,2.2341197,19199,-0.061680954,43,0.041883163
5463.071312665939,9.510471,1249,85.3160953027697,-0.05982878,0.0060703005599999985,6.2,0.9900304470211267,1.9942926,19445,-0.041426804,42,0.05198758
5615.961174249649,16.39447,1295,88.03178198521793,-0.060984958,0.005553738379999999,5.68,0.9768564403057098,2.032832,19702,-0.042008385,46,0.03258545
5761.929831504822,12.9348135,1337,87.27638043315072,-0.060727946,0.00533844072,5.88,0.9732818137854338,2.0242648,19967,-0.052805543,42,0.052016728
5901.983342409134,6.7579575,1377,86.61948170640359,-0.056373548,0.005486916969999998,6.24,0.9926329241134226,1.8791184,20222,-0.038412727,40,0.047424793
6070.435767650604,11.75243,1425,87.81016564660378,-0.053229626,0.00507341327,5.91,0.9881519554182887,1.7743208,20478,-0.024571994,48,0.030297486
6244.670439720154,12.573866,1474,83.9402289259884,-0.05081538,0.005158271809999999,5.3,0.9842853602021933,1.6938462,20735,-0.005911585,49,0.19878124
6252.945613622665,14.0182905,1477,83.53412658350061,-0.027492769,0.00516471189,5.73,0.7714974880218506,0.91642565,20795,-0.038016036,3,0.36383355
6408.126883268356,27.955704,1530,81.59779647747757,-0.04301366,0.00616763766,7.49,0.8861955031752586,1.4337885,21248,-0.02991025,53,0.02678184
6566.378171682358,15.916898,1584,87.14841739908218,-0.044790845,0.00598924414,4.75,0.9792392402887344,1.4930283,21504,-0.034316063,54,0.082433715
6747.879234075546,70.480446,1641,86.45146401642671,-0.045710012,0.005640651670000001,4.58,0.9404258094727993,1.5236671,21756,-0.014291793,57,0.06892019
6905.2747621536255,25.00177,1689,86.4191822770163,-0.049674533,0.005743390289999998,4.85,0.9598928838968277,1.6558177,22012,-0.02984569,48,0.09463
7047.272334814072,9.912211,1731,87.68613981683892,-0.061735693,0.005536487550000001,5.56,0.9662345424294472,2.0578566,22271,-0.06644103,42,0.06411152
7223.157044410706,6.81554,1783,87.85460787240396,-0.04946052,0.005373054730000001,5.56,0.9933524238876998,1.6486841,22525,-0.028494561,52,0.022390492
7381.713841915131,18.358252,1823,89.23634823165231,-0.06077878,0.00508827969,5.47,0.9599279724061489,2.0259595,22782,-0.04729331,40,0.09746064
7555.989984035492,11.617026,1877,89.61467096154735,-0.047414158,0.00506741321,5.5,0.9871524590998888,1.580472,23040,0.0143562425,54,0.3953008
7614.397696971893,26.40195,1893,90.03921130782757,-0.0149956215,0.00490736424,5.38,0.88275046646595,0.49985403,23121,-0.039812937,16,0.012977017
7614.804144620895,11.464865,1893,90.03921130782757,-0.00064619654,0.00490736424,5.38,-0.16167807579040527,0.021539886,23121,-1.5832484e-07,0,6.492491e-05
7654.45018362999,88.56713,1903,86.00203523869965,-0.051965915,0.005140500730000001,9.37,0.8584217131137848,1.7321973,23624,-0.01952668,10,0.44438562
7810.110181093216,34.92977,1945,83.55451975346006,-0.04970189,0.005330501120000001,11.75,0.8527761995792389,1.6567297,24063,-0.009290058,42,0.119442716
