loss_vf_loss,EpLenMean,EpisodesSoFar,EpThisIter,EpExecMean,TimeElapsed,TimestepsSoFar,loss_ent,loss_pol_entpen,loss_kl,loss_pol_surr,ev_tdlam_before,EpRewMean
28.41609,7.74,891,30,0.0063737253100000025,5293.832804441452,12285,2.3831966,-0.0714959,0.06415975,-0.048063904,0.969461839646101,85.10796544050945
32.566006,7.71,923,32,0.006727412739999999,5467.298464536667,12542,2.244388,-0.06733164,0.037109874,-0.04226097,0.9677678607404232,84.19177821967489
41.667885,8.08,956,33,0.006922448059999998,5613.953539609909,12798,2.1662574,-0.06498772,0.07543797,-0.04738491,0.959747452288866,83.94260949744893
45.303215,8.4,983,27,0.006804418370000001,5745.122094154358,13053,2.1984425,-0.06595327,0.08015825,-0.060215324,0.8589127957820892,84.6714119504035
25.428865,8.38,1014,31,0.00655545379,5890.922882795334,13304,2.4844015,-0.07453205,0.029575393,-0.05623916,0.9658519439399242,86.02083421779335
27.530125,8.06,1050,36,0.006107173259999999,6059.694664716721,13565,2.253847,-0.067615405,0.029566156,-0.045244627,0.9740932881832123,87.67151635708323
34.298576,7.63,1083,33,0.0064109032300000025,6223.5879328250885,13816,2.3316207,-0.06994861,0.058806513,-0.040814225,0.960736408829689,85.29855731607306
15.524839,7.62,1115,32,0.006387794150000002,6410.890659332275,14075,2.2932515,-0.06879754,0.04066316,-0.046584845,0.9868078902363777,85.86140935583074
17.263893,7.81,1148,33,0.006018093540000002,6575.910863399506,14334,2.3589764,-0.07076929,0.0339581,-0.04112941,0.9819763768464327,85.20226596161939
8.876239,8.24,1176,28,0.0060419457200000005,6718.504251718521,14588,2.3139367,-0.069418095,0.062260054,-0.065193474,0.9891854990273714,84.6844471998637
32.414185,7.94,1212,36,0.0059126345599999994,6885.609792709351,14845,2.025807,-0.060774203,0.03974482,-0.03319888,0.9706712029874325,85.90111012444089
9.44742,7.78,1246,34,0.005976942999999999,7049.122273921967,15099,2.0912642,-0.06273793,0.03652875,-0.05738375,0.9912582617253065,82.87968911904804
51.34167,7.47,1279,33,0.0054626856099999985,7210.027614116669,15351,1.848822,-0.05546466,0.017747337,-0.01997874,0.8798669204115868,83.70138890031056
17.265593,7.22,1320,41,0.005621318199999999,7398.330911874771,15616,1.92253,-0.0576759,0.029426053,-0.027843874,0.9838209804147482,84.97406364754052
25.206255,6.87,1358,38,0.005612463739999999,7577.15682387352,15871,1.868894,-0.05606682,0.015666083,-0.035781503,0.9781692866235971,87.77854066880577
35.74652,6.52,1398,40,0.0056912922,7753.018435239792,16120,1.994425,-0.05983275,0.042047113,-0.010510795,0.950373649597168,85.65999575564439
9.889856,6.43,1437,39,0.0053639411900000015,7938.863968849182,16377,1.9507672,-0.058523014,0.04180632,-0.04604573,0.9905902706086636,83.0413219369994
28.154484,7.12,1466,29,0.00578684759,8082.162092924118,16637,1.9579465,-0.058738396,0.08349409,-0.08697145,0.9265682026743889,82.05178207946179
21.848806,7.05,1507,41,0.0053866696,8270.22692990303,16887,1.8629615,-0.055888847,0.013450928,-0.010864433,0.9697262924164534,84.83729386866715
12.29129,7.11,1547,40,0.005733194159999999,8450.194506406784,17152,1.8872871,-0.056618612,0.06428299,-0.043124806,0.9896860904991627,86.89490413431018
18.182362,6.35,1588,41,0.00558028022,8639.742155313492,17405,1.7377056,-0.05213117,0.019933533,-0.026703618,0.9848162196576595,89.43071092752918
19.32061,6.55,1622,34,0.0056712184100000005,8792.955008983612,17662,1.9728243,-0.05918473,0.058874585,-0.07221748,0.9428837783634663,85.78088132165094
30.532782,6.26,1669,47,0.005540747110000001,9024.062201023102,17916,1.6733987,-0.05020196,0.024512274,-0.027109371,0.9680962413549423,85.1198706603996
18.365915,6.31,1709,40,0.0051603391399999985,9202.529853582382,18174,2.008074,-0.06024222,0.0325947,-0.045046255,0.9806777704507113,86.35606072424247
20.971455,6.32,1748,39,0.00491450621,9395.521632194519,18430,1.7051369,-0.051154107,0.017809318,-0.0243053,0.9828348271548748,88.99496597669136
21.08881,6.28,1789,41,0.005188040979999999,9598.9539437294,18683,1.867399,-0.05602197,0.02613729,-0.020343594,0.9818565268069506,89.1195229238049
11.758511,6.46,1828,39,0.00535658333,9788.483235836029,18942,1.8446738,-0.05534021,0.018452551,-0.037795946,0.989952907897532,89.29878918597966
12.9567375,7.01,1858,30,0.00503836199,9948.384668827057,19199,1.798458,-0.053953737,0.05967731,-0.07285412,0.9367474541068077,89.17305699144366
14.697929,7.28,1896,38,0.005116019260000001,10127.741525411606,19453,1.7732301,-0.0531969,0.048838355,-0.04597993,0.985263479873538,86.17286969873952
10.434841,7.02,1938,42,0.00532535526,10320.066254854202,19709,1.6475873,-0.04942762,0.040454544,-0.029596478,0.9868291709572077,84.08774776578541
29.600067,6.51,1976,38,0.00501102896,10513.935063123703,19967,1.7931765,-0.053795293,0.040403977,-0.02634878,0.9685501977801323,86.70798661254085
9.5089,6.69,2011,35,0.00485155125,10716.413506031036,20222,1.6511544,-0.04953463,0.059529208,-0.03055194,0.9926715395413339,88.65857244641391
19.218578,7.19,2045,34,0.00459875377,10893.504918336868,20478,1.7793736,-0.053381205,0.029189609,-0.038570598,0.969770411029458,87.87645944692227
13.089903,7.22,2082,37,0.0047580400999999994,11078.104919672012,20735,1.5987947,-0.04796384,0.029721553,-0.037460983,0.985298846848309,86.36728550516665
9.228372,6.7,2121,39,0.004768070699999999,11275.91022324562,20992,1.6667979,-0.05000394,0.061868176,-0.037595574,0.9919007634744048,86.41414151729167
7.212659,6.56,2159,38,0.004647414299999999,11482.374944448471,21245,1.6571437,-0.049714305,0.029697789,-0.03578546,0.9934715176932514,88.25260465444504
6.1585326,6.45,2201,42,0.0043211249,11688.472026824951,21498,1.5345736,-0.04603721,0.055178557,-0.024677671,0.9946147510781884,87.68171713193405
15.086084,6.5,2238,37,0.004764328579999999,11879.235698223114,21755,1.4898413,-0.04469524,0.075157106,-0.020909097,0.9760250132530928,85.3232535619547
12.131377,6.41,2280,42,0.005118712389999999,12086.661452531815,22012,1.5498803,-0.046496406,0.016974274,-0.025626935,0.9848619056865573,85.26461326413705
14.454132,6.37,2319,39,0.004539380319999999,12298.787626504898,22269,1.613433,-0.048402987,0.009530617,-0.024331618,0.9859325746074319,88.07472050071817
18.477541,6.57,2355,36,0.00450330451,12501.385057210922,22522,1.7057474,-0.051172424,0.023430042,-0.018565722,0.9807891007512808,86.35434274929567
16.884195,6.87,2393,38,0.00437162642,12708.763647317886,22779,1.4899132,-0.044697396,0.021984536,-0.019134464,0.9842317085713148,87.57769804719824
19.774458,7.15,2425,32,0.00470077507,12887.01711654663,23021,1.4860599,-0.044581793,0.012174662,-0.024151556,0.9813197702169418,85.10301647897255
14.809576,7.59,2456,31,0.004568378359999999,13042.016120433807,23292,1.7194346,-0.051583037,0.1283544,-0.07432866,0.9440586231648922,87.18031803752436
8.018032,7.39,2498,42,0.00457765892,13249.888218402863,23550,1.3670692,-0.04101208,0.017537255,-0.026909966,0.9925875961780548,86.04793264354106
5.793314,5.88,2543,45,0.004091928179999999,13465.189571857452,23808,1.2895981,-0.038687944,0.02126114,-0.01962261,0.9954675971530378,89.5103870885084
15.960365,6.32,2577,34,0.00396257513,13626.06535935402,24059,1.5025262,-0.04507578,0.22924623,-0.044342633,0.9779097214341164,87.53486773174956
11.730707,6.54,2618,41,0.00415119831,13824.578030347824,24320,1.4892797,-0.044678394,0.021486107,-0.031237349,0.9853514824062586,84.82492136970048
9.647154,5.92,2664,46,0.00431620955,14030.072438716888,24572,1.3707294,-0.041121885,0.033195954,-0.022356205,0.9918481335043907,86.70614802034548
11.133516,5.79,2708,44,0.004707678329999999,14239.827362775803,24831,1.3130267,-0.039390802,0.01597029,-0.02152381,0.9919535024091601,88.68810050097895
7.8059816,5.92,2750,42,0.00472330252,14447.46953201294,25088,1.3473068,-0.040419206,0.0161364,-0.026993226,0.9939973107539117,86.44011226427332
12.13339,5.96,2794,44,0.00439803351,14650.303931713104,25340,1.3692163,-0.04107649,0.020465182,-0.019597359,0.992081556469202,86.72582978502587
9.375017,6.02,2833,39,0.004647486260000001,14846.49836730957,25596,1.469495,-0.044084847,0.025739128,-0.023549728,0.990436545573175,88.27380957661072
6.8006544,6.36,2874,41,0.0047256303,15056.007943630219,25854,1.4424701,-0.0432741,0.0118967965,-0.020844404,0.9945060536265373,88.44922912284683
12.539528,7.08,2903,29,0.00462929326,15199.390466213226,26108,1.7128437,-0.051385306,0.22303359,-0.05671797,0.9761690646409988,87.88795766771364
12.115636,6.95,2944,41,0.004670090360000001,15404.320235013962,26367,1.4431564,-0.043294694,0.035955667,-0.023136193,0.9882798586040735,87.09130119819118
7.926653,6.0,2989,45,0.00465384879,15618.935923814774,26624,1.4548514,-0.043645546,0.0146426745,-0.011909854,0.9938462390564382,85.71291479714029
