TimeElapsed,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,EpExecMean,loss_ent,EpRewMean,loss_pol_surr
156857.59757828712,24,25.56,-0.12021533,0.15622433,164.11984,1819,0.8449677675962448,49149,0.04775555116000001,4.0071774,67.15817801608446,-0.068466
157652.85385084152,12,26.54,-0.15087354,0.09892849,46.14065,1831,0.8423259109258652,49405,0.053860553039999995,5.0291185,64.25028225308998,-0.09212771
158552.47602772713,12,21.36,-0.1487425,0.061961718,47.64048,1843,0.8445468693971634,49660,0.05466930184,4.958083,68.81826418064891,-0.07490839
159474.81868839264,14,21.3,-0.15090671,0.05912806,53.61431,1857,0.805642157793045,49911,0.05929741899,5.030224,67.13884886816302,-0.065362066
160428.22539663315,17,21.09,-0.14088304,0.053155933,18.07412,1874,0.960950143635273,50172,0.05940007173999999,4.696101,67.3055914763922,-0.07335949
161272.84210562706,12,16.86,-0.15403786,0.07838442,32.76712,1886,0.9077147394418716,50416,0.06298859022999999,5.1345954,70.29298487015177,-0.087613255
162256.72217965126,16,17.24,-0.13488045,0.052721903,27.584286,1902,0.9262318313121796,50682,0.06087278140999999,4.4960155,70.78846365994441,-0.078964345
163273.60896015167,19,17.45,-0.12734358,0.048676454,18.236034,1921,0.9700272791087627,50936,0.06127879180999999,4.2447863,70.48692459317975,-0.0640741
164269.95894360542,16,16.58,-0.1336103,0.097153015,60.491356,1937,0.8760150820016861,51185,0.06044495394999999,4.4536767,71.55707100799435,-0.06540269
165108.44878196716,15,16.19,-0.12364182,0.092128456,106.426575,1952,0.6219496130943298,51442,0.05961967514,4.121394,71.21083851642027,-0.06796067
165783.70101571083,11,16.26,-0.106825605,0.09239359,103.00057,1963,0.6109969913959503,51632,0.05946649087,3.5608535,71.14046708731112,-0.09598768
166621.80652928352,13,17.22,-0.11358556,0.07074851,86.0199,1976,0.8144014328718185,51958,0.05942103187999999,3.7861853,69.90070734076136,-0.078352354
167515.03599596024,16,16.86,-0.1258575,0.077219605,127.599014,1992,0.7789140492677689,52211,0.054590000650000005,4.19525,71.66586266561295,-0.07514039
168535.63869524002,21,16.7,-0.1308046,0.06439037,70.704445,2013,0.8227515071630478,52480,0.06148344568,4.360153,69.47252744553072,-0.076201335
169537.33400130272,17,16.57,-0.13705128,0.07930751,45.483356,2030,0.9043273106217384,52732,0.05694201689999999,4.5683765,71.01385749889724,-0.044294827
169620.8030860424,1,16.62,-0.043418527,0.12826847,137.80603,2031,-0.23846912384033203,52749,0.05717550258999998,1.4472843,70.90821291007512,-0.009149246
170248.92151212692,6,20.46,-0.14401829,0.3384307,60.594456,2037,0.7844540476799011,53231,0.059439022970000005,4.8006096,66.49487859551573,-0.066140905
171166.9014699459,14,20.72,-0.14142135,0.08968906,141.34409,2051,0.7575252503156662,53499,0.060122118909999994,4.7140446,66.9571754293572,-0.06940528
172105.39643001556,12,21.16,-0.15417385,0.09290738,48.918667,2063,0.8494423776865005,53748,0.059362047339999995,5.139128,66.95342307471839,-0.092574105
172960.93759059906,13,20.43,-0.14198981,0.059294984,124.563034,2076,0.6171945333480835,54001,0.06145915968,4.7329936,67.35848909178834,-0.07913445
173741.73990392685,11,21.74,-0.1448914,0.071220934,155.69025,2087,0.6927005350589752,54264,0.06353829278999999,4.8297133,65.5648924820244,-0.054561432
174632.1108367443,14,22.05,-0.14639214,0.097968295,42.268906,2101,0.8712610453367233,54526,0.062102765270000006,4.8797383,65.81997404224006,-0.08549705
175555.7051138878,14,22.46,-0.15255995,0.07405655,103.982956,2115,0.778172641992569,54774,0.05586481635,5.085332,67.11055452919733,-0.07875499
176214.34359145164,7,23.95,-0.1459172,0.54995507,119.02142,2122,0.4425961375236511,55037,0.06085720122,4.8639073,64.11312392463695,-0.099716045
177142.299182415,15,20.63,-0.14284986,0.05559648,76.78033,2137,0.8298067897558212,55294,0.06620759460000002,4.7616625,65.82970588404238,-0.05982704
178076.62209820747,11,20.88,-0.15326574,0.06950891,45.844467,2148,0.8620364218950272,55541,0.06481102384,5.1088586,66.14216625067638,-0.07475141
178951.49870085716,11,21.18,-0.15037806,0.07036328,45.20659,2159,0.7995881885290146,55800,0.06593379371000001,5.0126023,64.72919469673208,-0.081657305
179922.71684646606,14,21.24,-0.14215265,0.045249473,78.28415,2173,0.8413965553045273,56059,0.06343136449,4.7384214,65.65993058981121,-0.0541143
180853.90762901306,13,20.65,-0.15896353,0.120170765,152.10428,2186,0.6591227650642395,56315,0.06300815912,5.2987847,66.47607882292216,-0.07865932
181750.75890755653,10,21.41,-0.15689209,0.061050408,26.42015,2196,0.9221101775765419,56568,0.06108464774,5.2297363,66.72925717460083,-0.07109011
182519.7741203308,9,22.03,-0.13547833,0.07634795,69.864624,2205,0.7474306523799896,56798,0.06409318532000001,4.5159445,65.26455252270128,-0.05553629
182536.1872689724,0,22.03,-0.027158573,0.03386267,82.066,2205,-0.004395008087158203,56798,0.06409318532000001,0.9052858,65.26455252270128,0.0021510497
182896.1281502247,0,22.03,-0.15937923,0.07395432,37.436478,2205,-0.776409387588501,56798,0.06409318532000001,5.312641,65.26455252270128,-0.08789854
183714.55729341507,8,28.22,-0.16288091,0.08113217,48.695587,2213,0.7131008207798004,57560,0.06229844591,5.4293633,59.84601138946219,-0.08905081
184699.09989595413,12,27.69,-0.14789018,0.061910853,33.199966,2225,0.886892780661583,57854,0.05703138992,4.929673,62.75281721818605,-0.07119873
185772.49983119965,13,27.89,-0.14565745,0.052479558,40.638535,2238,0.8977227434515953,58104,0.05403878661,4.8552485,63.792359492458424,-0.0603991
186630.9990222454,11,27.95,-0.14160323,0.047793604,62.326843,2249,0.8729973882436752,58358,0.0536690804,4.7201076,64.32636537256415,-0.05034044
187626.14164161682,14,27.48,-0.1408473,0.053692304,37.265877,2263,0.9115242511034012,58613,0.04936000869,4.6949105,66.57740493491548,-0.059986487
188589.21011686325,11,27.96,-0.15081288,0.06677143,49.05543,2274,0.8863940238952637,58867,0.050742884959999984,5.0270967,65.69938130299177,-0.068615414
189595.28951454163,13,27.77,-0.14612149,0.07000257,57.097717,2287,0.8836484998464584,59117,0.05189935536999999,4.870716,65.3256701920512,-0.08636907
190675.23077225685,17,26.09,-0.13329603,0.047418125,37.537712,2304,0.9247122928500175,59387,0.051687307460000005,4.443201,66.80436937855185,-0.04971119
191795.92834973335,14,19.59,-0.11409383,0.019480146,181.37164,2318,0.6468789875507355,59639,0.05442869867,3.8031278,72.0762146874399,-0.037938252
