EpThisIter,loss_pol_surr,TimeElapsed,EpisodesSoFar,loss_ent,EpRewMean,TimestepsSoFar,loss_kl,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpLenMean,EpExecMean
45,-0.05333764,2684.502686738968,632,2.786823,79.99045122900387,10240,0.05689498,0.8845060467720032,94.97674,-0.08360469,7.71,0.005802062489999999
37,-0.063863106,2798.3024940490723,669,2.7889066,81.10996917033152,10491,0.054454684,0.9271940216422081,78.03773,-0.083667204,6.89,0.005568739489999999
32,-0.048202403,2895.2898440361023,701,2.531752,82.57047834539208,10748,0.14841607,0.9142254069447517,68.00475,-0.07595256,6.89,0.0058127844999999985
17,-0.05850647,2943.3322110176086,718,1.4014373,83.70475642194155,10882,0.043103263,0.817121148109436,78.626495,-0.042043112,7.14,0.00566879271
46,-0.044964246,3067.997282266617,764,2.224716,82.11570780783522,11260,0.050101176,0.8446039855480194,75.000114,-0.06674148,8.02,0.00564843196
31,-0.072312996,3158.0277915000916,795,2.56052,83.68564255575114,11518,0.4858846,0.9347273260354996,49.546886,-0.0768156,8.23,0.005318637260000001
56,-0.050174296,3308.521150827408,851,2.3114083,82.77083336889123,11775,0.06824901,0.9156069755554199,99.85749,-0.06934225,6.0,0.0060599137899999996
45,-0.06408617,3433.9415266513824,896,2.512022,82.898702664216,12031,0.049526066,0.945405650883913,44.315453,-0.075360656,5.1,0.00608824759
40,-0.057283703,3546.5245723724365,936,2.6028395,80.74319726699426,12285,0.040735085,0.9419554881751537,50.529125,-0.078085184,5.96,0.005831597710000001
48,-0.04532744,3696.953226327896,984,2.4152007,80.40542567149946,12544,0.028311705,0.940693449229002,62.22564,-0.072456025,5.78,0.0054780835100000005
36,-0.062218,3810.1409888267517,1020,2.335912,81.38833509811312,12797,0.07113218,0.9604954309761524,36.719242,-0.07007736,6.22,0.005528767309999999
54,-0.061824057,3948.0125975608826,1074,2.08318,85.39849214676278,13054,0.107342035,0.9709908999502659,39.880714,-0.062495396,5.7,0.005304870800000001
39,-0.050666153,4072.966201066971,1113,2.1561499,85.91488898089628,13310,0.13591966,0.9763642624020576,22.334587,-0.064684495,5.61,0.0050974841000000016
53,-0.03989685,4225.501103401184,1166,2.0944126,82.63181095769617,13568,0.05672775,0.9610724337399006,40.353798,-0.06283237,5.48,0.005004320049999999
46,-0.059345156,4369.818606376648,1212,2.1464102,81.36592888499622,13824,0.049338635,0.9576884135603905,48.85972,-0.064392306,5.24,0.00531265116
