EpLenMean,EpThisIter,EpisodesSoFar,ev_tdlam_before,EpRewMean,EpExecMean,TimestepsSoFar,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_ent,TimeElapsed
3.89,25,1605,0.9145908951759338,78.16637748765413,0.0015572057400000004,10600,0.0635028,-0.09301763,-0.06677338,42.30436,3.1005876,13275.219898700714
6.39,19,1624,0.8403886407613754,69.42565165122195,0.0020192867900000007,10931,0.05909118,-0.106842175,-0.062052455,54.5606,3.561406,13430.142951488495
9.4,9,1633,0.9018006399273872,66.0891817512489,0.00175005422,11263,0.090826444,-0.10900834,-0.045392554,55.267128,3.6336112,13532.863484859467
6.32,74,1707,0.9442751780152321,63.30291926309506,0.00305647321,11520,0.06406714,-0.06665639,-0.017690767,51.672672,2.2218797,13979.346987485886
3.31,76,1783,0.9722217302769423,68.58303430160467,0.0016069516099999999,11772,0.0397046,-0.07043696,-0.05808737,39.616318,2.3478985,14506.015616416931
3.55,70,1853,0.9003135338425636,71.44909166232557,0.00140637781,12029,0.03831907,-0.07613332,-0.05047845,68.38702,2.5377774,14976.295373916626
4.46,52,1905,0.9359056055545807,76.60896725455545,0.00152542159,12288,0.047365412,-0.0788125,-0.051318448,39.17843,2.6270835,15348.851296901703
3.99,67,1972,0.9867959637194872,77.42547706419226,0.0009452751899999999,12543,0.0150056,-0.07414739,-0.040237807,22.445726,2.4715796,15800.796646356583
4.23,56,2028,0.9034809246659279,76.53181255674396,0.0016088972699999998,12800,0.024647444,-0.07442479,-0.044072032,38.71664,2.4808264,16196.37124300003
3.63,75,2103,0.9926603129133582,73.09745791576124,0.0014261359799999998,13056,0.030656476,-0.07089131,-0.05830101,19.224945,2.3630438,16747.48893761635
3.77,67,2170,0.9670810997486115,68.56002978128171,0.0017297982099999999,13312,0.046196297,-0.07933783,-0.018567655,20.012442,2.6445942,17190.332775354385
3.91,60,2230,0.9885044507682323,73.25687299272623,0.00162034784,13566,0.03520411,-0.07720654,-0.043220352,12.25425,2.5735512,17662.055891752243
4.29,55,2285,0.9810106102377176,79.19293506811458,0.00158650554,13801,0.19016503,-0.071355656,-0.054614685,18.901035,2.378522,18104.615673542023
6.36,17,2302,0.9049861058592796,71.2628633213775,0.00210692296,14077,0.0611558,-0.09707956,-0.07386458,19.794888,3.2359855,18234.84985256195
5.94,68,2370,0.978207366541028,72.05023098827715,0.00202478266,14328,0.049012497,-0.066507235,-0.04778302,45.77714,2.216908,18688.512553215027
3.77,65,2435,0.984199944883585,72.96250743069191,0.00210963281,14592,0.034233883,-0.074666716,-0.0606508,18.707361,2.4888906,19149.512069940567
3.79,71,2506,0.9870209963992238,67.50485513456775,0.00197136659,14848,0.04171031,-0.0664115,-0.053547204,14.846231,2.213717,19730.92295908928
4.2,56,2562,0.925738513469696,66.27880442415716,0.0016837232299999995,15104,0.027108032,-0.072530754,-0.044697605,28.967865,2.4176917,20185.15170288086
4.28,65,2627,0.9530223682522774,73.18352003640038,0.00207593512,15359,0.02287287,-0.0710608,-0.043346293,46.985077,2.3686934,20741.52886915207
4.09,60,2687,0.9889816101640463,73.77152785964319,0.0020773326400000004,15612,0.034601185,-0.063295074,-0.036285713,8.507271,2.1098356,21231.514855861664
3.86,71,2758,0.9965524706058204,77.86857113198907,0.0012313416899999998,15872,0.03737623,-0.05693356,-0.038910165,6.5888996,1.8977854,21820.3493745327
3.81,68,2826,0.9765109419822693,75.18126131748389,0.0012942107,16127,0.021545697,-0.0625771,-0.042723957,26.781694,2.0859034,22415.754790067673
3.54,71,2897,0.9663384631276131,65.87374924039085,0.0012045232999999998,16383,0.01490832,-0.06118163,-0.03540258,16.788948,2.0393877,23029.763641119003
3.45,74,2971,0.9961204507853836,75.01449602015128,0.0006785485599999999,16639,0.015208356,-0.056706645,-0.030777156,7.153013,1.8902215,23656.520975589752
3.72,68,3039,0.9829464349895716,77.05253004830055,0.0015008849600000001,16895,0.024639884,-0.061171137,-0.043928888,22.968742,2.039038,24246.785128355026
3.72,22,3061,0.6877232491970062,74.84665799515302,0.0016102061399999998,16977,0.034361873,-0.09739247,-0.05494723,111.396996,3.2464156,24478.134099960327
6.79,35,3096,0.9404049515724182,65.89447437387491,0.00183052956,17407,0.045110054,-0.08818494,-0.03340128,70.59083,2.939498,24770.418520450592
3.62,74,3170,0.9909285614266992,70.87770309875283,0.0011020472599999997,17664,0.022349887,-0.05673892,-0.0356728,9.781729,1.8912975,25420.943623304367
3.59,67,3237,0.9504892416298389,76.70944251300591,0.0010447320599999998,17918,0.015791785,-0.062290896,-0.03908978,20.976868,2.076363,26042.08475089073
3.79,66,3303,0.989466704428196,74.18912757431335,0.0012181598,18174,0.026587142,-0.057330836,-0.035007305,3.4992042,1.9110279,26651.402562856674
3.84,67,3370,0.9877485381439328,73.63175415275755,0.0008839580899999999,18431,0.024356378,-0.062322557,-0.043008454,13.602163,2.0774186,27222.00071644783
3.33,77,3447,0.9809540305286646,76.29719562483855,0.00108842199,18686,0.027664207,-0.0633588,-0.034108274,10.104991,2.11196,27897.3483171463
3.65,65,3512,0.9977490361779928,71.32848492371375,0.0008320583200000001,18944,0.042144887,-0.055344634,-0.04876727,2.660068,1.8448212,28457.771862983704
3.88,67,3579,0.9931947905570269,75.83320535204864,0.00099654159,19199,0.028217178,-0.04954915,-0.03827525,6.1189547,1.6516385,29072.513709783554
3.45,77,3656,0.9982792601222172,74.53869358539185,0.0010228396,19453,0.02644385,-0.0479682,-0.033620697,2.33589,1.59894,29740.18450498581
3.6,72,3728,0.9753736220300198,79.92284941377171,0.0017870470899999996,19708,0.014979659,-0.05018799,-0.013712034,37.786663,1.6729331,30403.438361167908
3.34,78,3806,0.9958177204243839,66.5847580473709,0.00126203971,19964,0.020246558,-0.048607163,-0.016679497,3.190691,1.6202388,31117.951962947845
3.44,71,3877,0.9807770140469074,72.8244430930746,0.0016611163,20223,0.013020388,-0.05261524,-0.02019976,8.088169,1.7538414,31747.322715759277
3.62,68,3945,0.9971536169759929,74.27641888591387,0.0009647672999999999,20478,0.0094175,-0.0487507,-0.031695135,4.4204955,1.6250234,32403.412660360336
3.49,75,4020,0.9959216243587434,72.14100684090988,0.0018723638299999999,20736,0.022169333,-0.049252145,-0.02686863,4.9558887,1.6417382,33061.69182276726
3.27,77,4097,0.9972343277186155,70.19038672053803,0.0011433932999999998,20990,0.014944368,-0.047416665,-0.023895651,4.9732275,1.5805556,33772.601700782776
3.41,75,4172,0.9892703602090478,70.66569767520787,0.00110611894,21248,0.02293154,-0.049935855,-0.025574233,11.457528,1.6645286,34537.68664550781
3.75,64,4236,0.9973014777060598,72.44151045992231,0.0010806807099999999,21503,0.015991505,-0.050917394,-0.026131624,4.5063014,1.6972464,35178.09339737892
3.51,77,4313,0.9940585005097091,70.03946052595342,0.00164733863,21758,0.01327556,-0.04303943,-0.012751884,7.3320885,1.4346478,35853.48159837723
3.26,78,4391,0.9921219609677792,64.78137091809313,0.0016446065300000001,22016,0.010675345,-0.041532807,-0.009523407,11.634074,1.3844271,36593.32263159752
3.36,75,4466,0.9986737390281633,66.76495036804131,0.00112794378,22270,0.0039087166,-0.039388437,-0.016538132,2.0032406,1.3129479,37350.08988380432
3.22,80,4546,0.9896194841712713,74.52632163955896,0.0012671059700000002,22528,0.01572023,-0.043143205,-0.015518561,16.669758,1.438107,38061.25099468231
3.34,75,4621,0.9940072544850409,79.39485934211392,0.00111420454,22783,0.026209224,-0.046194524,-0.0182047,7.933691,1.5398176,38808.62783360481
3.47,72,4693,0.9902892084792256,74.38705185595852,0.00132809913,23037,0.010298902,-0.050326932,-0.018151537,9.540299,1.6775644,39515.101580142975
4.11,57,4750,0.9935790598392487,75.77892351339545,0.00173914297,23293,0.009598601,-0.04927149,-0.022271346,6.425771,1.6423831,40165.95728182793
4.16,67,4817,0.9913597507402301,76.8111836226044,0.0016000526399999994,23549,0.02833702,-0.047982622,-0.033159755,7.67716,1.5994207,40842.0788064003
3.71,68,4885,0.9891661135479808,69.75283098186402,0.00214905685,23806,0.013372876,-0.045552485,-0.023640215,9.033106,1.5184162,41540.342801094055
3.48,77,4962,0.999806810868904,70.17301367035105,0.00090453328,24061,0.02483772,-0.042779405,-0.029915826,0.5710033,1.4259802,42296.94546055794
3.54,70,5032,0.9960935208946466,72.54207007760593,0.0014198628700000002,24318,0.008862127,-0.045205466,-0.011521612,6.0428114,1.5068489,43010.97256922722
3.88,65,5097,0.9983737168367952,80.33914837720803,0.0008610816099999997,24575,0.009557718,-0.04328061,-0.0156137645,2.4786098,1.442687,43733.47042798996
3.94,66,5163,0.997541714226827,71.4681639955289,0.0008921120299999999,24831,0.015187632,-0.04452689,-0.02698692,3.0524144,1.4842297,44386.58154630661
3.73,69,5232,0.9970027667004615,65.84242416293976,0.00119063398,25085,0.004102471,-0.038534693,-0.013869331,4.5795665,1.2844899,45137.01480650902
3.43,76,5308,0.9904361125081778,71.31145285796774,0.00121278761,25341,0.012068391,-0.040465243,-0.010191251,13.538911,1.3488415,45882.51953458786
3.49,74,5382,0.9956418289802969,69.41845300472083,0.0007232847000000001,25600,0.0049638287,-0.035867166,-0.0078758225,6.7115555,1.1955723,46614.44374203682
3.44,72,5454,0.9933534781448543,68.8524725906805,0.00073845417,25855,0.0026885776,-0.038007572,-0.008542008,9.76849,1.266919,47349.13184571266
3.68,71,5525,0.9941219026222825,75.34497971631947,0.0014285482200000002,26112,0.007242768,-0.036191043,-0.008282043,9.04082,1.2063682,48083.8621096611
3.39,75,5600,0.9925857521593571,76.50669408892426,0.00107749107,26365,0.0039405497,-0.035505723,-0.012438469,12.746919,1.1835243,48846.04028463364
3.4,73,5673,0.997211343375966,75.2917783260582,0.0007138659499999999,26621,0.004651304,-0.037682805,-0.012385637,4.30797,1.2560935,49629.647970199585
3.6,71,5744,0.9958610879257321,82.52092488231081,0.0008633542700000001,26880,0.009069585,-0.039888375,-0.008482154,7.0171385,1.3296125,50382.558733940125
3.68,68,5812,0.9985847760690376,76.61944454539193,0.0006997670700000002,27136,0.008948194,-0.038457695,-0.011550174,2.1173537,1.2819232,51165.46627211571
3.68,72,5884,0.9955357424914837,74.01223241336592,0.0006174276799999999,27392,0.010480412,-0.038771175,-0.011385553,6.7839675,1.2923726,51929.265946388245
3.78,66,5950,0.9945679707452655,71.18495232162849,0.00121933031,27644,0.0029625834,-0.03957629,-0.005833065,7.741,1.3192096,52651.18564867973
3.67,72,6022,0.9901811853051186,76.0549496416876,0.00079994105,27904,0.008999183,-0.038643416,-0.0089655,15.266469,1.2881138,53398.39084124565
3.7,66,6088,0.998889300157316,82.13252050895939,0.00068552713,28158,0.0029882018,-0.038203962,-0.009633675,1.878211,1.2734653,54203.23269081116
4.34,52,6140,0.957670658826828,77.6360569659465,0.0011343712,28413,0.007290361,-0.040035725,-0.016970702,43.54808,1.3345242,54740.0737016201
4.51,65,6205,0.9821439180523157,67.14543689628675,0.0015978281600000006,28671,0.0052516344,-0.041817397,-0.010969892,22.306566,1.3939133,55434.37084937096
4.13,61,6266,0.9938191534020007,71.58783066783893,0.00152242404,28926,0.0035218743,-0.038843885,-0.008692084,9.052483,1.2947962,56157.9442615509
4.13,65,6331,0.9885418079793453,71.96474933502748,0.0008963724100000001,29181,0.0014435085,-0.040171772,-0.006111853,16.056786,1.3390591,56924.183790683746
3.91,64,6395,0.9951739488169551,71.25125933268924,0.00052776411,29437,0.0019424042,-0.039635096,-0.01208677,6.053583,1.32117,57694.92838048935
3.95,66,6461,0.9896444296464324,77.87941628235326,0.00061058328,29694,0.0036328724,-0.040535085,-0.006565839,16.05397,1.3511695,58464.776634693146
4.1,62,6523,0.9789108727127314,79.7444366690184,0.0008341836000000002,29949,0.0034188125,-0.042528246,-0.014194861,26.463865,1.4176083,59196.52406048775
3.92,65,6588,0.994555695913732,79.60353644762486,0.00113102305,30204,0.0021814513,-0.04165236,-0.0077215545,7.948741,1.3884121,59915.75471353531
3.81,67,6655,0.9952032854780555,74.55168470445011,0.0012073818900000001,30462,0.0047799563,-0.040636193,-0.0045275865,7.0410757,1.3545399,60661.923971414566
3.89,65,6720,0.9929751567542553,72.69194347829172,0.00070858307,30719,0.003291129,-0.039447688,-0.0064376183,9.049686,1.3149228,61397.16083264351
4.09,61,6781,0.9795736018568277,69.83325221317475,0.0011467274699999998,30976,0.0024311524,-0.038902078,-0.008143354,27.965878,1.296736,62072.468698978424
4.6,54,6835,0.977605614811182,70.40668491705095,0.00147938017,31232,0.0015465758,-0.040930245,-0.0062357113,27.799826,1.3643415,62681.40075445175
4.32,65,6900,0.9863456720486283,71.08393335505892,0.0015790464500000001,31483,0.0028990726,-0.03814141,-0.007413052,20.126259,1.2713804,63422.133554935455
4.01,64,6964,0.9897916866466403,75.19344836378103,0.0015800808199999997,31741,0.0009738761,-0.03748793,-0.0027868897,15.390669,1.2495978,64088.62601304054
3.87,67,7031,0.9979819569271058,85.34334526368627,0.0008823859999999999,31998,0.00097376463,-0.036917925,-0.003253303,3.3432274,1.2305975,64877.84807348251
3.86,66,7097,0.9990797620848753,83.36330410182309,0.000856662,32256,0.0031081773,-0.03504546,-0.009480361,1.5041926,1.1681819,65639.99442148209
4.08,60,7157,0.977084930986166,77.607966847064,0.0011450079800000004,32512,0.010453345,-0.03885726,-0.005680112,31.432068,1.295242,66307.61040306091
3.96,62,7219,0.9951003985479474,77.78301353537877,0.0011341832700000002,32765,0.0013937259,-0.036585193,-0.0056572137,7.5728064,1.2195065,67035.26960206032
3.9,67,7286,0.9974217067938298,72.64751641180962,0.00122643182,33021,0.0013520834,-0.037601724,-0.004871737,3.8181286,1.2533909,67762.16654992104
3.77,70,7356,0.9826430790126324,74.80017192269256,0.00124355548,33279,0.0030178824,-0.03818465,-0.004383091,25.82341,1.2728217,68494.01477360725
3.89,64,7420,0.9957000282593071,72.86450979278479,0.00139735506,33535,0.008017564,-0.0388512,-0.009600503,6.2482834,1.2950401,69213.6569635868
