TimestepsSoFar,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_ent,ev_tdlam_before,loss_kl,TimeElapsed,EpExecMean,loss_pol_surr,loss_vf_loss,EpLenMean,EpRewMean
31988,-0.15529484,14,1000,5.1764946,0.8191983103752136,0.07459821,99997.7125852108,0.06523187827999999,-0.087007865,80.316246,16.76,69.06794522113381
32253,-0.14839423,16,1016,4.946474,0.9476862736046314,0.08799694,100926.31402158737,0.06387987253,-0.09603259,20.404987,16.38,69.85594087472576
32504,-0.15171817,11,1027,5.0572724,0.8868241012096405,0.07563236,101759.83231782913,0.06533031538999999,-0.09639564,28.738533,17.09,68.76605554438345
32761,-0.13863721,17,1044,4.6212406,0.814175084233284,0.08080775,102639.99102210999,0.0620788698,-0.07135034,93.96213,17.1,69.85939354705886
33022,-0.1340682,16,1060,4.4689407,0.9272204712033272,0.073561035,103471.68229913712,0.05576743105,-0.07583207,40.044903,16.7,72.38404664147932
33253,-0.13645434,17,1077,4.548478,0.8455948531627655,0.0811611,104353.41416525841,0.054864737319999995,-0.07836283,44.331043,16.57,72.87143841356186
33518,-0.13682887,16,1093,4.560962,0.9336205497384071,0.06045726,105232.25440335274,0.054919758299999996,-0.077490136,28.87463,16.55,72.881415554951
33788,-0.12984866,19,1112,4.328289,0.9044743031263351,0.040372837,106175.34690499306,0.054146998769999996,-0.0682164,47.51966,15.85,73.70175865845613
34033,-0.12837613,17,1129,4.2792044,0.8944268822669983,0.04908596,107095.85282468796,0.05567759007999999,-0.07045012,46.22222,14.99,73.93590844390963
34301,-0.1405412,15,1144,4.684706,0.8017328679561615,0.20989905,107812.02956748009,0.05446036819999999,-0.091211244,95.620285,15.4,73.83023952785436
34560,-0.109817795,22,1166,3.6605935,0.9535443671047688,0.053006213,108837.81610918045,0.054229372320000004,-0.075826444,37.41512,14.81,74.39507293106854
34814,-0.10907813,20,1186,3.6359377,0.8621679693460464,0.091238454,109687.31296873093,0.053957818249999984,-0.05069985,72.72248,14.01,75.34983035515643
35056,-0.11839825,21,1207,3.9466083,0.8813550099730492,0.048502866,110622.57667016983,0.057357881189999994,-0.05404007,50.065956,13.34,74.70834628997473
35322,-0.11856651,20,1227,3.9522173,0.9496890790760517,0.04798369,111562.6142642498,0.054521297639999994,-0.0696955,28.783316,13.18,75.19892459808926
35576,-0.12255744,20,1247,4.085248,0.9574425779283047,0.05796606,112516.74488782883,0.052496244799999994,-0.05742592,23.767094,12.37,76.63496052265099
35830,-0.12851262,20,1267,4.283754,0.9441778063774109,0.053443864,113433.72198271751,0.05530945868,-0.037908494,32.20437,12.62,75.5435920228761
36072,-0.107940935,24,1291,3.598031,0.9362964928150177,0.045477986,114378.6273317337,0.05227101923,-0.05049333,39.232227,11.93,77.02792457678889
36351,-0.11574404,21,1312,3.8581347,0.9653259739279747,0.05093519,115394.31216955185,0.047914185170000005,-0.06131647,20.69769,11.98,78.83231880618831
36596,-0.10769514,22,1334,3.589838,0.9542847275733948,0.035614885,116350.65977787971,0.05099736638000001,-0.0462194,28.106237,11.93,78.10889806010378
36834,-0.1017341,24,1358,3.391137,0.9659166932106018,0.0656191,117311.11517620087,0.05283303697000001,-0.05946306,20.079487,11.18,77.59452370726432
37119,-0.10757047,26,1384,3.5856824,0.9523621499538422,0.042569358,118334.96208190918,0.05372711856,-0.06110391,27.081549,11.18,77.5048771207934
37374,-0.11309304,22,1406,3.769768,0.9795497693121433,0.069738716,119317.25313282013,0.05146719362,-0.08363657,10.515362,10.97,78.3809287266343
37628,-0.10520205,24,1430,3.506735,0.9218320399522781,0.11985648,120239.86437821388,0.05202876429999999,-0.044339694,42.83723,10.73,77.73417119272399
37881,-0.11222923,23,1453,3.7409744,0.9165912866592407,0.06579447,121185.19611978531,0.05085910649000001,-0.06997841,47.77895,11.13,78.23278410898916
38140,-0.110362396,23,1476,3.6787467,0.9508835151791573,0.0683276,122128.74096941948,0.04743704909000001,-0.06057253,22.09349,11.07,79.25139349733101
38391,-0.11554568,18,1494,3.851523,0.8553695529699326,0.06967211,123047.14154839516,0.04949901521000001,-0.08143761,49.986122,11.7,77.95947261190324
38648,-0.10942915,24,1518,3.6476388,0.9377657659351826,0.04786566,124058.27056765556,0.05398845200999999,-0.053387485,31.805641,11.64,76.95990624519374
38905,-0.107509196,23,1541,3.58364,0.8914134129881859,0.072952315,125020.31848978996,0.051334695529999995,-0.064075254,65.669815,11.64,77.88961694090008
39163,-0.1134283,25,1566,3.7809434,0.9437665678560734,0.039708667,126042.71220541,0.049113102980000004,-0.036789194,38.71827,11.43,78.8493238511349
39422,-0.110895306,23,1589,3.6965103,0.9233753755688667,0.08695027,127007.50754547119,0.05154149347999999,-0.064137265,36.779457,10.88,78.67262269677668
39677,-0.11366091,25,1614,3.788697,0.9101491123437881,0.06578536,127985.5574786663,0.05173551331000001,-0.045509093,57.094883,10.75,78.27595324756442
39921,-0.122266896,21,1635,4.0755634,0.9463538080453873,0.03481373,129024.09928917885,0.05372089079,-0.037591584,31.9161,10.65,77.82277054883748
40186,-0.12298784,21,1656,4.0995946,0.9551642946898937,0.06816937,130105.63921165466,0.05600416505999999,-0.0381843,16.784351,11.17,76.76308123448484
40441,-0.119147226,19,1675,3.9715745,0.927438423037529,0.07363515,131058.19016337395,0.05512976194,-0.07595664,39.42115,11.7,76.59635278569476
40704,-0.13116379,18,1693,4.3721266,0.8985301777720451,0.071852274,132017.46642446518,0.0538498492,-0.061448235,56.177414,12.47,76.37099319465527
40954,-0.1343914,23,1716,4.4797134,0.8738769292831421,0.11950771,133088.51408958435,0.05135559764000001,-0.048121035,96.40359,12.61,77.66284549534159
41204,-0.15119623,15,1731,5.0398746,0.9082812592387199,0.056001667,134072.3399732113,0.050309169859999996,-0.07637508,46.130795,13.31,77.43184613896891
41444,-0.12780589,15,1746,4.2601967,0.9275034964084625,0.11995185,134888.7899711132,0.0478399355,-0.097660854,24.256493,13.73,77.9217790663103
41725,-0.11598798,14,1760,3.8662663,0.6402289867401123,0.044508807,135693.48457169533,0.051145386570000013,-0.06910814,56.672905,14.97,75.63094545349405
41972,-0.13773449,17,1777,4.5911493,0.9305755868554115,0.08087906,136682.7580370903,0.05255477184000002,-0.07587495,26.36156,15.04,75.12436113608526
42240,-0.13611948,18,1795,4.537316,0.864856630563736,0.03347677,137663.49722480774,0.057584237530000006,-0.047370203,63.735336,15.01,73.56501591169564
42489,-0.13123873,15,1810,4.374624,0.9306110665202141,0.041377798,138552.05592942238,0.05647726995,-0.07255037,28.972263,16.03,72.81726891514818
42729,-0.1406706,16,1826,4.6890197,0.8743064552545547,0.059559934,139453.81623840332,0.05624525719,-0.0749413,47.69758,16.17,72.80243174670998
42997,-0.13735777,15,1841,4.5785923,0.9498392976820469,0.06642444,140424.5631520748,0.05826529408999999,-0.08638144,21.832417,16.25,71.97802078559143
43262,-0.12816443,20,1861,4.272147,0.9265667870640755,0.037332527,141439.63432216644,0.053505365469999996,-0.04759649,41.15453,15.13,74.71717296713338
43515,-0.14192168,16,1877,4.730723,0.887188084423542,0.050552305,142349.03149747849,0.051978555369999985,-0.04493077,38.998497,15.43,74.93179822124955
43764,-0.13489053,13,1890,4.496351,0.7497657537460327,0.0979747,143257.38553094864,0.05216774214,-0.07916948,81.669754,16.1,74.29050929331629
44023,-0.12650229,22,1912,4.216743,0.9468389302492142,0.04870979,144362.03326392174,0.050377612259999996,-0.058602963,34.696167,15.07,76.15679970620076
44262,-0.13756698,16,1928,4.5855665,0.9144104048609734,0.036718145,145257.3766257763,0.05273442245,-0.048402127,43.672806,14.68,75.81328770223097
44541,-0.1264514,19,1947,4.2150464,0.93490881472826,0.045506053,146192.5640759468,0.054480583060000004,-0.059698462,33.195442,14.51,75.38047551725666
44790,-0.124951035,18,1965,4.1650343,0.962965689599514,0.06904082,147236.25197696686,0.05573556175,-0.08717822,15.726708,14.72,74.36014395806272
45051,-0.11975707,19,1984,3.9919026,0.915444903075695,0.048060533,148182.52142596245,0.05678959597,-0.069347896,39.153225,13.99,74.72377680636602
45306,-0.11500272,21,2005,3.8334246,0.9180618822574615,0.032327715,149164.68616962433,0.05339228756000001,-0.03390026,54.65671,13.7,75.9943685142721
45559,-0.117366314,16,2021,3.9122105,0.9494613632559776,0.04503204,150018.95354151726,0.04976573630000001,-0.082299985,19.211723,14.1,76.75922571396104
45816,-0.118804574,23,2044,3.9601526,0.9282037764787674,0.04082077,151120.58569312096,0.051112367719999996,-0.029027898,48.380127,13.28,77.07297112780242
46070,-0.12897573,20,2064,4.299191,0.9042947590351105,0.04640747,152124.4094631672,0.04992265217000002,-0.03404035,57.42932,12.94,78.19216004639753
46315,-0.13684063,16,2080,4.5613537,0.9514600969851017,0.045008596,153053.74246120453,0.05119479715,-0.06807714,14.502716,13.12,77.69493840671821
46591,-0.13670738,16,2096,4.5569124,0.9607156030833721,0.057786852,154021.55772519112,0.051158615870000014,-0.061649382,16.98335,13.91,77.15665969073005
46833,-0.13682479,14,2110,4.560826,0.8862812593579292,0.04545866,154953.15919947624,0.051561934620000006,-0.05131123,46.196934,14.48,76.68600058701536
