EpisodesSoFar,EpRewMean,EpLenMean,EpThisIter,loss_ent,TimeElapsed,loss_pol_entpen,loss_kl,loss_pol_surr,EpExecMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss
2437,78.8792441792975,3.92,61,2.502347,24351.300463438034,-0.07507041,0.035435043,-0.04965615,0.02499323412,0.7437721490859985,16382,435.81042
2497,76.73698316681445,4.12,60,2.6310844,24840.569361686707,-0.07893253,0.029396735,-0.024843132,0.0202590679,0.8534767478704453,16639,219.82973
2551,75.289815661665,4.4,54,2.8706336,25337.79738855362,-0.086119,0.019634144,-0.03884834,0.020264546240000004,0.8760561123490334,16896,147.9515
2612,79.17490274618817,4.29,61,2.7763999,25903.13579773903,-0.083291985,0.023129158,-0.031259857,0.008245920760000003,0.9048348292708397,17151,154.14996
2659,82.71740317771736,4.8,47,2.9027896,26401.365414381027,-0.08708369,0.027332531,-0.026797459,0.00851240018,0.8378462791442871,17403,207.79253
2659,82.71740317771736,4.8,0,0.23216644,26411.03603863716,-0.006964993,0.0012282771,-0.00052374136,0.00851240018,-0.0041730403900146484,17403,154.37396
2659,82.71740317771736,4.8,0,0.19649278,26420.938094854355,-0.005894783,0.0021073176,-0.003462188,0.00851240018,-0.01138317584991455,17403,113.25602
2659,82.71740317771736,4.8,0,0.20099996,26429.700010061264,-0.006029999,0.00020101549,-0.0017118938,0.00851240018,-0.020526528358459473,17403,41.90193
2669,68.86571948287414,14.59,10,0.7902125,26512.135630607605,-0.023706373,0.025690936,-0.04494155,0.010352683090000002,0.7586055994033813,18432,85.26393
2725,69.59072037458958,14.85,56,2.3372955,26982.65753006935,-0.07011886,0.017335422,-0.013768525,0.010550019640000002,0.745852142572403,18686,512.6864
2774,80.01116879240352,4.89,49,2.0672696,27397.188905239105,-0.062018085,0.037328094,-0.022552904,0.01161737393,0.7053430080413818,18941,348.12585
2807,80.88811714053939,4.79,33,1.160089,27647.389742136,-0.034802668,0.013007777,-0.044158995,0.014361685190000003,0.8548617213964462,19065,159.61809
2807,80.88811714053939,4.79,0,0.6715795,27656.415541172028,-0.020147383,0.0065953666,-0.0019569434,0.014361685190000003,0.00032019615173339844,19065,165.74466
2848,74.61511413485334,9.15,41,1.6123683,27984.458362340927,-0.048371047,0.023760919,-0.011200612,0.01525510682,0.8116577714681625,19711,272.91034
2898,71.15160769146107,9.45,50,1.9357724,28370.78010892868,-0.05807317,0.059385948,-0.014600977,0.01760427568,0.7840687781572342,19966,349.75076
2962,76.64785913713082,4.67,64,2.0554957,28863.297963380814,-0.061664876,0.018436182,-0.028721243,0.01781260801,0.8030152469873428,20222,390.35583
3014,78.39821349830024,4.6,52,1.6490752,29239.971856832504,-0.04947225,0.0064827027,-0.0058491956,0.021975219019999995,0.8970952183008194,20472,167.94336
3019,74.67611776201574,7.06,5,0.5666808,29280.281669855118,-0.017000424,0.03509105,-0.01698697,0.02533842813,0.7930269986391068,20734,194.81555
3057,78.75478859606969,6.4,38,1.2919396,29538.905816555023,-0.03875819,0.0036940058,-0.010813754,0.019546816709999998,0.7316202521324158,20846,207.4123
3074,74.95142444360556,7.79,17,1.5021827,29638.837093114853,-0.04506548,0.053439025,-0.029055178,0.02378720856,0.7564933747053146,21046,208.29381
3161,77.08091589962248,4.88,87,1.5274763,30193.98681664467,-0.045824293,0.009496925,-0.011433223,0.026389548489999998,0.9382860846817493,21502,179.59259
3252,74.8180017047198,2.8,91,1.627733,30811.629000663757,-0.048831988,0.010574796,-0.022924148,0.02034562916,0.9364713579416275,21757,206.93271
3337,78.84006805253178,3.04,85,1.7054266,31388.547003269196,-0.051162794,0.016235044,-0.0145866275,0.026270210770000003,0.8135180324316025,22016,477.61893
3398,79.94581916680445,3.55,61,1.7838862,31876.21854519844,-0.05351659,0.008696222,-0.011110686,0.021340773190000002,0.8398857414722443,22250,303.9322
3474,79.45688146515114,3.54,76,2.1148849,32460.964057922363,-0.063446544,0.018687822,-0.030700652,0.017793882929999998,0.8493599593639374,22524,116.61222
3534,86.3830518175978,3.92,60,2.05613,32954.965683460236,-0.0616839,0.029642323,-0.032337494,0.014630039909999998,0.9735679775476456,22783,40.592728
3594,83.05621009523256,4.22,60,2.4548619,33424.7834610939,-0.07364585,0.022462856,-0.030166948,0.01528490456,0.9756315890699625,23040,18.56455
3637,77.5000427011568,4.99,43,1.686619,33729.77701830864,-0.05059857,0.032295186,-0.02999427,0.017191346699999995,0.48230284452438354,23296,150.76811
3657,74.6649998771613,6.86,20,1.1697061,33886.72233748436,-0.035091184,0.0073294807,-0.03135854,0.024835171410000002,0.7177891731262207,23552,78.633835
3735,77.9753933903911,5.15,78,1.8221086,34435.698690891266,-0.05466326,0.019471915,-0.005340012,0.01759346145,0.8903843909502029,23807,220.58913
3803,82.64113156905343,3.45,68,1.9626861,34930.61016511917,-0.05888058,0.025923735,-0.015521418,0.010529273309999998,0.871496394276619,24064,238.69974
3869,84.83951985543516,3.75,66,2.4365077,35501.67459535599,-0.07309523,0.010009551,-0.022377059,0.006305257030000001,0.9155488535761833,24320,115.15651
3880,82.88188493165264,3.75,11,0.76243496,35605.59118771553,-0.022873048,0.0072419243,-0.02670357,0.00637228374,0.8497451990842819,24364,110.1224
3895,77.9795471206254,7.72,15,0.88196087,35713.98824453354,-0.026458822,0.026880018,-0.033328526,0.007753049390000001,0.9005924388766289,24810,89.68431
3982,83.71691446273833,3.16,87,1.6726378,36280.37512421608,-0.05017913,0.012725472,-0.013782568,0.008517476230000001,0.8769102469086647,25084,288.87488
4057,81.51446909985012,3.23,75,1.7077669,36835.967843294144,-0.051233005,0.022267347,-0.020174107,0.01436394183,0.8856503441929817,25343,256.74533
4114,77.29507107070188,3.98,57,1.7837995,37284.03895974159,-0.05351399,0.022416607,-0.036972336,0.01753420882,0.9311390221118927,25600,99.20839
4198,80.70560491178219,3.1,84,2.0822437,37895.615803956985,-0.062467307,0.013299793,-0.01733572,0.01160097944,0.8970739245414734,25856,225.89893
4268,73.89377192555725,3.49,70,2.2372994,38444.86673593521,-0.06711899,0.023297101,-0.024550933,0.016874909150000002,0.8484475761651993,26110,133.39369
4323,70.65970236574488,4.06,55,2.0023904,38890.686697006226,-0.060071714,0.011182891,-0.015230928,0.01518034589,0.9674926660954952,26353,46.053352
4353,69.79136821843933,4.95,30,1.2219578,39162.18480801582,-0.036658734,0.0032455581,-0.017068444,0.02057294165,0.6362164318561554,26556,181.06659
4353,69.79136821843933,4.95,0,0.3549197,39171.576169490814,-0.010647591,0.0030838435,-0.0025536725,0.02057294165,-0.22661972045898438,26556,15.277842
4420,71.783219075455,8.04,67,1.7215521,39689.35883164406,-0.05164656,0.005341516,-0.007566428,0.023482219449999998,0.9249843209981918,27135,128.7786
4457,77.96924832162709,4.72,37,0.8470416,39962.038039922714,-0.025411248,0.008775637,-0.018547388,0.008669575959999998,0.8611020296812057,27389,197.95914
4484,74.86331842911137,4.49,27,0.71316123,40155.47211432457,-0.021394836,0.013658006,-0.018773947,0.010760239849999997,0.7593871653079987,27458,169.22705
4558,72.7243853147352,5.09,74,1.145432,40655.86410403252,-0.03436296,0.010333441,-0.0015726201,0.013782507529999996,0.8784156143665314,27904,253.63979
4648,76.57390677777637,2.76,90,1.4404547,41297.139088869095,-0.043213643,0.006125863,-0.0049639046,0.00820462643,0.9662395939230919,28159,76.01304
4682,75.59332992769853,2.96,34,1.2491565,41576.49060368538,-0.037474692,0.038105372,-0.027818805,0.007278975920000001,0.8850435316562653,28263,164.13809
4766,77.12532140901513,4.56,84,1.5755444,42232.98805689812,-0.047266327,0.0076916274,-0.010730129,0.00899349775,0.9564250111579895,28671,105.80313
4851,77.07905039344843,2.99,85,1.5515077,42838.645965099335,-0.046545226,0.026101355,-0.017326107,0.01726516129,0.8403104245662689,28928,355.7188
4917,79.32771712304483,3.76,66,1.5201671,43377.286924123764,-0.045605015,0.0040647103,-0.006140232,0.014633680070000002,0.8924350142478943,29181,209.51147
4982,72.62855944187305,3.93,65,1.7065206,43916.34262037277,-0.051195614,0.026287168,-0.027397564,0.01257929662,0.9548081643879414,29440,67.58638
5071,84.42718348692985,2.87,89,1.6534866,44558.0232064724,-0.0496046,0.011352224,-0.017300986,0.0118592644,0.9065638035535812,29695,232.49054
5155,87.29243839843339,2.98,84,1.9957107,45269.11468458176,-0.05987132,0.013275472,-0.01667343,0.008740248990000001,0.9178160652518272,29952,183.50548
5220,82.17557919020673,3.64,65,2.3769426,45883.64549612999,-0.07130828,0.012490046,-0.01787999,0.012631393299999998,0.8606883734464645,30205,237.83392
5283,77.13467204280546,4.07,63,2.3987885,46432.04473900795,-0.07196365,0.011559829,-0.030645978,0.017689139850000004,0.849227711558342,30462,237.01195
5354,71.44522843377106,3.91,71,2.5824516,46995.30706143379,-0.07747354,0.013242688,-0.01471087,0.015701919930000002,0.9535792842507362,30719,69.00826
5381,71.77303087752406,5.18,27,1.6792564,47255.956939697266,-0.050377693,0.010392207,-0.025533129,0.013528640730000003,0.8232938498258591,30972,181.74982
5445,80.20853282491885,5.38,64,2.4489653,47839.95060658455,-0.07346895,0.0055230036,-0.010023872,0.015944705639999997,0.9383038245141506,31231,109.3197
5509,83.57491460272442,4.06,64,2.2869558,48392.34250640869,-0.06860867,0.005899136,-0.00616155,0.00970386739,0.9526948556303978,31482,77.145615
5578,82.19894496340447,3.69,69,2.3415747,48920.108033657074,-0.07024724,0.008972152,-0.017035697,0.01823599277,0.8558777868747711,31742,274.9593
